underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2016-06-01,VIX,2016-06-01,55.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,55.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,60.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,60.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,65.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,65.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,70.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.5750,14.5750,0,0.0000,0,0.0000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-08,10.000,C,0.0000,0.0000,0.0000,0.0000,0,4481,4.3000,5051,4.8000,14.5750,14.5750,0,4.4000,0,4.8000,14.6500,14.6500,0.0000,328,
^VIX,2016-06-01,VIX,2016-06-08,10.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5785,0.0500,14.5750,14.5750,0,0.0000,0,0.0500,14.6500,14.6500,0.0000,2,
^VIX,2016-06-01,VIX,2016-06-08,10.500,C,0.0000,0.0000,0.0000,0.0000,0,4029,3.8000,60,4.2000,14.5750,14.5750,0,3.9000,0,4.3000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-08,10.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6275,0.0500,14.5750,14.5750,0,0.0000,0,0.0500,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-08,11.000,C,0.0000,0.0000,0.0000,0.0000,0,3544,3.3000,60,3.7000,14.5750,14.5750,0,3.4000,0,3.8000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-08,11.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5669,0.0500,14.5750,14.5750,0,0.0000,0,0.0500,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-08,11.500,C,0.0000,0.0000,0.0000,0.0000,0,80,2.8500,5128,3.3000,14.5750,14.5750,0,2.9500,0,3.3000,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-08,11.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5372,0.0500,14.5750,14.5750,0,0.0000,0,0.0500,14.6500,14.6500,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-08,12.000,C,0.0000,0.0000,0.0000,0.0000,0,291,2.3500,2886,2.7500,14.5750,14.5750,0,2.4500,0,2.8000,14.6500,14.6500,0.0000,13,
^VIX,2016-06-01,VIX,2016-06-08,12.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4988,0.0500,14.5750,14.5750,0,0.0000,0,0.0500,14.6500,14.6500,0.0000,1,
^VIX,2016-06-01,VIX,2016-06-08,12.500,C,2.4000,2.4000,2.4000,2.4000,1,259,1.9000,2313,2.2500,14.5750,14.5750,0,2.0000,0,2.3000,14.6500,14.6500,2.4000,1,
^VIX,2016-06-01,VIX,2016-06-08,12.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3426,0.0500,14.5750,14.5750,0,0.0000,0,0.0500,14.6500,14.6500,0.0000,2,
^VIX,2016-06-01,VIX,2016-06-08,13.000,C,2.1000,2.1500,1.7000,1.7000,213,1027,1.4500,2003,1.7500,14.5750,14.5750,0,1.5500,0,1.8000,14.6500,14.6500,1.9310,101,
^VIX,2016-06-01,VIX,2016-06-08,13.000,P,0.0300,0.1000,0.0300,0.1000,11,0,0.0000,5109,0.1000,14.5750,14.5750,0,0.0000,0,0.1000,14.6500,14.6500,0.0936,45,
